Date,Close,High,Low,Open,Volume,One-day return,Five-day return,Twenty-day return,Five-day volatility,Twenty-day volatility,Sixty-day volatility,Downside volatility,Sixty-day moving average,Moving average,Distance from moving average,Drawdown,Recent drawdown,Recent high-low range,Volume change
2018-01-01,13657.2001953125,14112.2001953125,13154.7001953125,14112.2001953125,10291200000,,,,,,,,,,,0.0,,,
2018-01-02,14982.099609375,15444.599609375,13163.599609375,13625.0,16846600192,9.70110560814097,,,,,,,,,,0.0,,,63.69908457711442
2018-01-03,15201.0,15572.7998046875,14844.5,14978.2001953125,16871900160,1.4610795304552893,,,,,,,,,,0.0,,,0.15017847940628215
2018-01-04,15599.2001953125,15739.7001953125,14522.2001953125,15270.7001953125,21783199744,2.6195657872015055,,,,,,,,,,0.0,,,29.10934475325866
2018-01-05,17429.5,17705.19921875,15202.7998046875,15477.2001953125,23840899072,11.733292616101544,,,,,,,,,,0.0,,,9.446267546469045
2018-01-06,17527.0,17712.400390625,16764.599609375,17462.099609375,18314600448,0.5593964256002781,28.335235255727696,,5.126307744868272,,,,,,,0.0,,,-23.17990864065347
2018-01-07,16477.599609375,17579.599609375,16087.7001953125,17527.30078125,15866000384,-5.987336056512804,9.981912008275495,,6.349298370452135,,,,,,,-5.987336056512804,,,-13.36966138547343
2018-01-08,15170.099609375,16537.900390625,14208.2001953125,16476.19921875,18413899776,-7.935014996092593,-0.2032786699888156,,7.8016325059900264,,,,,,,-13.44725503865465,,,16.05886379890309
2018-01-09,14595.400390625,15497.5,14424.0,15123.7001953125,16659999744,-3.788368129071751,-6.434944049177204,,7.8306522553951465,,,,,,,-16.726191643607002,,,-9.524870089094161
2018-01-10,14973.2998046875,14973.2998046875,13691.2001953125,14588.5,18500800512,2.5891678470515656,-14.09220112632319,,4.409360285389745,,,,,,,-14.570092972627947,,,11.049224467503095
2018-01-11,13405.7998046875,15018.7998046875,13105.900390625,14968.2001953125,16534099968,-10.468634305373904,-23.51343752674445,,4.962080291196655,,,,,,,-23.51343752674445,,,-10.63035376617546
2018-01-12,13980.599609375,14229.900390625,13158.099609375,13453.900390625,12065699840,4.287694975770973,-15.153906267872419,,6.424286468220468,,,,,,,-20.233927030438746,,,-27.025360537604804
2018-01-13,14360.2001953125,14659.5,13952.400390625,13952.400390625,12763599872,2.715195317395036,-5.338787713443816,,6.165470383604745,,,,,,,-18.06812235229931,,,5.784165371712091
2018-01-14,13772.0,14511.7998046875,13268.0,14370.7998046875,11084099584,-4.096044534981502,-5.641506012770236,,6.202517587314376,,,,,,,-21.42408854909568,,,-13.158515660494686
2018-01-15,13819.7998046875,14445.5,13641.7001953125,13767.2998046875,12750799872,0.3470796157965417,-7.703712708930654,,5.954757722523569,,,,,,,-21.15136757752325,,,15.03685775618524
2018-01-16,11490.5,13843.099609375,10194.900390625,13836.099609375,18853799936,-16.85480135462911,-14.287098364827077,,8.510908032121518,,,,,,,-34.44114794317339,,,47.86366443882337
2018-01-17,11188.599609375,11678.0,9402.2900390625,11431.099609375,18830600192,-2.627391241677912,-19.970531150379,,7.60060693566576,,,,,,,-36.163635480259025,,,-0.12305075941588806
2018-01-18,11474.900390625,12107.2998046875,10942.5,11198.7998046875,15020399616,2.558861620270214,-20.092336913445873,,7.565787596292897,,,,,,,-34.53015124878759,,,-20.23408992358474
2018-01-19,11607.400390625,11992.7998046875,11172.099609375,11429.7998046875,10740400128,1.154694119247024,-15.717394781985183,,7.928180488829451,,,,,,,-33.774174755377416,,,-28.494578023349437
2018-01-20,12899.2001953125,13103.0,11656.2001953125,11656.2001953125,11801700352,11.129105236439107,-6.661454018044055,,10.227665146235214,,,,,14180.569970703125,-9.036095009142219,-26.403832970203112,-26.403832970203112,88.38389708291852,9.881384411677674
2018-01-21,11600.099609375,12895.900390625,11288.2001953125,12889.2001953125,9935179776,-10.071171594108497,0.9538280264131282,-15.062388751125944,7.73224296876947,7.367570557472721,,5.621166626663158,,14077.71494140625,-17.59955605255178,-33.81582923846066,-33.81582923846066,88.38389708291852,-15.815691979365376
2018-01-22,10931.400390625,11966.400390625,10240.2001953125,11633.099609375,10537400320,-5.764598936801968,-2.2987614869558026,-27.03692622771836,8.15781710273925,7.039478119933114,,5.767065483399732,,13875.17998046875,-21.216154269620503,-37.631081242511556,-37.631081242511556,88.38389708291852,6.061496194107718
2018-01-23,10868.400390625,11377.599609375,10129.7001953125,10944.5,9660609536,-0.5763214020962026,-5.285448930742009,-28.502069662357744,8.01206881040469,7.011772460075168,,5.768505144987417,,13658.55,-20.42786100556061,-37.99052666956695,-37.99052666956695,88.38389708291852,-8.320750444830782
