Model,Period,Training period,Features,MAE,RMSE,R2,Pearson correlation,Spearman rank correlation,MAE high volatility,MAE low volatility
Ridge regression without 2020,2022,"up to 2021, excluding 2020",Full feature set,1.3312626785971682,1.75657667471161,-0.04588155844170694,0.14309987693013015,0.186821914778149,1.7058169540268828,1.1144154665062809
Ridge regression without 2020,2023,"up to 2022, excluding 2020",Full feature set,1.0816857953767194,1.270475696783283,-0.3749887092796249,0.04722201682774724,0.06344081873059719,1.2204902258749903,1.0475850529359676
Ridge regression without 2020,2024,"up to 2023, excluding 2020",Full feature set,1.0591132604328526,1.2765711958447723,-0.08673158247346469,0.2786029796147421,0.21000086724517017,0.8309759027735478,1.1970096188402548
Ridge regression without 2020,2025,"up to 2024, excluding 2020",Full feature set,0.9055913001523921,1.1101519156230688,-0.07083348038183845,0.32551539644705507,0.31423828864578307,0.8835631366013222,0.9130710124029418
